medication_name,generic_name,drug_class,primary_indication,mechanism_of_action,common_dosage,administration,common_side_effects,serious_side_effects,contraindications,drug_interactions,monitoring_requirements,pregnancy_category,cost_tier
Lisinopril,Lisinopril,ACE Inhibitor,Hypertension and Heart Failure,Inhibits conversion of angiotensin I to angiotensin II,10-40 mg once daily,Oral; take with or without food,Dry cough (10-15%); dizziness; headache; fatigue,Angioedema; hyperkalemia; acute kidney injury; hypotension,Pregnancy; history of angioedema with ACE inhibitors; bilateral renal artery stenosis,NSAIDs (reduced efficacy); potassium supplements (hyperkalemia); lithium (increased levels),Blood pressure; serum creatinine and potassium at baseline and periodically; monitor for signs of angioedema,Category D - Contraindicated,Low (generic available)
Metformin,Metformin,Biguanide,Type 2 Diabetes,Decreases hepatic glucose production; increases insulin sensitivity,500-2000 mg daily (divided doses),Oral; take with meals to reduce GI upset,Nausea; diarrhea; abdominal discomfort; metallic taste; vitamin B12 deficiency,Lactic acidosis (rare but serious); severe hypoglycemia when combined with insulin/sulfonylureas,Severe renal impairment (eGFR <30); metabolic acidosis; acute heart failure,Contrast dyes (hold 48 hours before/after); alcohol (increased lactic acidosis risk),Renal function (eGFR) before starting and annually; vitamin B12 levels annually; glucose monitoring,Category B - Generally safe,Low (generic available)
Atorvastatin,Atorvastatin,Statin (HMG-CoA Reductase Inhibitor),Hyperlipidemia and ASCVD prevention,Inhibits cholesterol synthesis in the liver,10-80 mg once daily,Oral; take any time of day with or without food,Muscle aches; headache; nausea; diarrhea; elevated liver enzymes,Rhabdomyolysis; liver failure; new-onset diabetes; memory problems,Active liver disease; pregnancy; breastfeeding,Strong CYP3A4 inhibitors increase levels (clarithromycin erythromycin); grapefruit juice; fibrates increase myopathy risk,Lipid panel at baseline and 4-12 weeks; liver enzymes at baseline; monitor for muscle symptoms,Category X - Contraindicated,Low (generic available)
Amlodipine,Amlodipine,Calcium Channel Blocker (Dihydropyridine),Hypertension and Angina,Blocks calcium entry into vascular smooth muscle causing vasodilation,2.5-10 mg once daily,Oral; take with or without food,Peripheral edema (ankle swelling); headache; dizziness; flushing; palpitations,Severe hypotension; worsening heart failure; MI (rare),Severe aortic stenosis; cardiogenic shock,CYP3A4 inhibitors increase levels; simvastatin (limit simvastatin to 20 mg daily),Blood pressure monitoring; heart rate; signs of peripheral edema,Category C - Use with caution,Low (generic available)
Levothyroxine,Levothyroxine Sodium,Thyroid Hormone,Hypothyroidism,Synthetic T4; converted to active T3 in peripheral tissues,25-200 mcg once daily (individualized),Oral; take on empty stomach 30-60 min before breakfast,Weight changes; headache; insomnia; nervousness; heat intolerance,Cardiac arrhythmias; angina; MI; bone loss with excessive doses,Untreated thyrotoxicosis; acute MI; uncorrected adrenal insufficiency,Decreases absorption: calcium iron antacids soy PPIs; increases warfarin effect; decreases effect of diabetes medications,TSH at baseline 6-8 weeks after dose changes then annually; free T4 if indicated; heart rate and blood pressure,Category A - Safe in pregnancy,Low (generic available)
Aspirin,Acetylsalicylic Acid,NSAID/Antiplatelet,Pain; fever; cardiovascular disease prevention,Irreversibly inhibits COX-1 and COX-2; inhibits platelet aggregation,81-325 mg daily (low-dose); 325-650 mg q4-6h PRN (analgesic),Oral; enteric-coated formulations available,Dyspepsia; nausea; stomach upset; easy bruising,GI bleeding; hemorrhagic stroke; allergic reactions; Reye's syndrome (children),Active GI bleeding; hemophilia; aspirin allergy; children with viral infections,Anticoagulants (increased bleeding); NSAIDs (increased GI toxicity); methotrexate (increased toxicity),No routine monitoring for low-dose; monitor for signs of bleeding; annual CBC if long-term use,Category D in 3rd trimester,Low (OTC available)
Losartan,Losartan,Angiotensin Receptor Blocker (ARB),Hypertension; diabetic nephropathy,Blocks angiotensin II at AT1 receptors causing vasodilation,25-100 mg once or twice daily,Oral; take with or without food,Dizziness; upper respiratory infection; fatigue; back pain,Hyperkalemia; acute kidney injury; hypotension; angioedema (rare),Pregnancy; bilateral renal artery stenosis,NSAIDs (reduced efficacy); potassium supplements (hyperkalemia); lithium (increased levels),Blood pressure; serum creatinine and potassium at baseline and periodically,Category D - Contraindicated,Low (generic available)
Metoprolol,Metoprolol,Beta-Blocker (Selective Beta-1),Hypertension; angina; heart failure; MI,Blocks beta-1 adrenergic receptors; reduces heart rate and contractility,25-200 mg twice daily (tartrate); 25-400 mg daily (succinate ER),Oral; take with or at same time relative to meals consistently,Fatigue; dizziness; bradycardia; cold extremities; depression,Severe bradycardia; heart block; severe hypotension; bronchospasm; worsening heart failure,Sinus bradycardia; 2nd/3rd degree heart block; cardiogenic shock; severe peripheral arterial disease; untreated pheochromocytoma,Calcium channel blockers (bradycardia hypotension); insulin (masks hypoglycemia); CYP2D6 inhibitors increase levels,Heart rate and blood pressure; EKG if indicated; glucose in diabetics; signs/symptoms of heart failure,Category C - Use with caution,Low (generic available)
Omeprazole,Omeprazole,Proton Pump Inhibitor (PPI),GERD; peptic ulcers; Zollinger-Ellison syndrome,Irreversibly inhibits gastric H+/K+ ATPase (proton pump),20-40 mg once daily,Oral; take 30-60 min before breakfast; do not crush or chew delayed-release capsules,Headache; nausea; diarrhea; abdominal pain; vitamin B12 deficiency,C. difficile infection; bone fractures (long-term use); hypomagnesemia; kidney disease,Hypersensitivity to PPIs; concurrent use with rilpivirine,Clopidogrel (reduced activation); warfarin (increased INR); methotrexate (increased levels),Magnesium levels if prolonged use or with diuretics/digoxin; vitamin B12 if long-term use; assess need for continued therapy periodically,Category C - Use with caution,Low (generic and OTC available)
Albuterol,Albuterol Sulfate,Short-Acting Beta-2 Agonist (SABA),Asthma; COPD (acute bronchospasm),Relaxes bronchial smooth muscle by stimulating beta-2 receptors,2 puffs (90 mcg/puff) q4-6h PRN; nebulizer 2.5 mg q4-6h PRN,Inhalation; shake MDI before use; rinse mouth after,Tremor; nervousness; tachycardia; palpitations; headache,Paradoxical bronchospasm; severe hypokalemia; cardiac arrhythmias,Hypersensitivity to albuterol or any component,Beta-blockers (reduced bronchodilator effect); diuretics (increased hypokalemia); MAO inhibitors (cardiovascular effects),Heart rate and blood pressure; frequency of use (>2 times/week indicates poor control); potassium if high doses,Category C - Use with caution,Low (generic available)
Gabapentin,Gabapentin,Anticonvulsant/Neuropathic Pain Agent,Neuropathic pain; partial seizures; postherpetic neuralgia,Unknown; structurally related to GABA but doesn't bind GABA receptors,300-3600 mg daily in 3 divided doses,Oral; take with or without food; requires renal dose adjustment,Dizziness; somnolence; ataxia; fatigue; peripheral edema,Respiratory depression (with opioids); suicidal thoughts; severe skin reactions (rare),Hypersensitivity to gabapentin,Opioids (increased respiratory depression); antacids (reduced absorption - separate by 2 hours),No routine lab monitoring required; assess for suicidal ideation; renal function for dose adjustment,Category C - Use with caution,Low (generic available)
Sertraline,Sertraline,Selective Serotonin Reuptake Inhibitor (SSRI),Depression; anxiety; OCD; PTSD,Inhibits serotonin reuptake in CNS increasing synaptic serotonin,25-200 mg once daily,Oral; take with or without food; morning or evening dosing,Nausea; diarrhea; insomnia; sexual dysfunction; increased sweating,Serotonin syndrome; suicidal ideation (especially young adults); bleeding; hyponatremia; seizures,Concurrent use with MAO inhibitors (14 day washout required); concurrent use with pimozide,MAO inhibitors (serotonin syndrome); NSAIDs/anticoagulants (increased bleeding); tamoxifen (reduced efficacy); other serotonergic drugs,Mental status at each visit; suicidal ideation especially first 1-2 months; sodium if risk factors for hyponatremia,Category C - Use with caution,Low (generic available)
Hydrochlorothiazide,Hydrochlorothiazide (HCTZ),Thiazide Diuretic,Hypertension; edema,Inhibits sodium reabsorption in distal tubule increasing urine output,12.5-50 mg once daily,Oral; take in morning to avoid nocturia,Hypokalemia; dizziness; muscle cramps; increased urination,Severe electrolyte abnormalities; hypotension; hyperglycemia; hyperuricemia (gout); photosensitivity,Anuria; sulfonamide allergy,NSAIDs (reduced antihypertensive effect); lithium (increased levels); digoxin (hypokalemia increases toxicity),Blood pressure; electrolytes (sodium potassium) and renal function at baseline and periodically; glucose and lipids,Category B - Generally safe,Low (generic available)
Warfarin,Warfarin,Vitamin K Antagonist (Anticoagulant),DVT/PE; atrial fibrillation; mechanical heart valves,Inhibits vitamin K-dependent clotting factors (II VII IX X),Individualized dosing based on INR (typically 2-10 mg daily),Oral; take same time daily; consistent vitamin K intake,Bleeding; bruising; nausea,Major hemorrhage; skin necrosis; purple toe syndrome,Pregnancy; active major bleeding; severe hypertension; recent surgery,EXTENSIVE - antibiotics NSAIDs acetaminophen many drugs affect INR,INR: daily initially then 2-3 times/week then weekly then every 4 weeks when stable; CBC; assess for bleeding,Category X - Contraindicated,Low (generic available)
