input,output
What was Costco's revenue in Q1 and how did it compare to the prior year?,"According to the transcript, Costco reported net sales for the first quarter of fiscal 2024 of $56.72 billion, a 6.1% increase over last year's first quarter of $53.44 billion. Net sales were benefited by approximately 1.5% to 1% in the US and worldwide from the shift to the fiscal calendar as a result of the 53rd week in fiscal 2023."
What was Adobe's revenue in Q4?,"According to the transcript, in the fourth quarter of FY23 Adobe achieved revenue of $5.05 billion, representing 12% year-over-year growth or 13% in constant currency. This was Adobe's first-ever $5 billion quarter. Q4 Digital Media revenue was $3.72 billion and Digital Experience revenue was $1.27 billion."
What was Oracle's revenue in Q2?,"According to the transcript, total revenues for the quarter were $12.9 billion, up 4% including Cerner and up 6% excluding Cerner year-over-year. Cloud services and license support revenue for the quarter was $9.6 billion, up 11%."
What was Salesforce's revenue in the quarter?,"According to the transcript, revenue in the quarter was $8.7 billion, up 11% year-over-year. The transcript states that Salesforce is heading into Q4 as their largest quarter of the year."
What was NetApp's revenue in Q2 and how did it compare to the previous quarter?,"According to the transcript, Q2 revenue was $1.6 billion, down 6% year-over-year. Hybrid Cloud segment revenue was $1.4 billion, with 10% quarter-over-quarter growth. Public Cloud segment revenue in Q2 was $154 million, flat from Q1 and up 8% year-over-year."
What did Walmart report for Q3 and what did management say about Q4?,"According to the transcript, constant currency sales increased 4.4% or nearly $7 billion in Q3. Comp sales for Walmart U.S. were up 4.9% and Sam's Club U.S. up 3.8%. Management stated that the timing of Flipkart's Big Billion Days event moved from Q3 last year to Q4 this year, and they expect that timing to benefit Q4's growth rate for the international segment."
What did Disney report for Q4 and full-year fiscal 2023?,"According to the transcript, total company revenues for fiscal 2023 increased 7% and segment operating income grew by 8%. For Q4, Experiences segment operating results increased by over 30% versus the prior year quarter, and Entertainment DTC operating losses improved by nearly $1 billion versus the prior year."
What was eBay's revenue in Q4 and how did it compare to Q3?,"According to the transcript, eBay anticipated Q4 revenue between $2.47 billion and $2.53 billion. In Q3, revenue was $2.5 billion, up 4% year-over-year, implying Q4 would be roughly flat to slightly down sequentially."
What was Target's revenue trend in Q3 and how did it compare to Q2?,"According to the transcript, in the third quarter total revenue was down 4.2%, with comparable sales down 4.9%, traffic down 4.1%, and average ticket down 0.8%. The Q3 comp trend improved 0.5 point compared with Q2 and the traffic trend recovered a little bit faster."
What was Home Depot's revenue in Q3?,"According to the transcript, sales for the third quarter were $37.7 billion, down 3% from the same period last year. Comp sales declined 3.1% and U.S. stores had negative comps of 3.5%."
What was Broadcom's revenue in Q4?,"According to the transcript, in fiscal Q4 2023 consolidated net revenue was $9.3 billion, up 4% year-on-year. Semiconductor Solutions revenue was $7.3 billion and Infrastructure Software revenue was $2 billion, up 7% year-on-year."
What was Ulta Beauty's revenue in Q3 and how did management describe the growth trend?,"According to the transcript, net sales in the third quarter increased 6.4% to $2.5 billion. Comparable sales increased 4.5%. Management stated that sales growth was expected to moderate from the first half as they lapped two years of strong double-digit comp growth."
What was Intuit's revenue in Q1?,"According to the transcript, Intuit delivered first quarter fiscal 2024 revenue of $3 billion, up 15% year-over-year. Growth was driven by Small Business and Self-Employed Group revenue growth of 18% and Consumer Group revenue growth of 25%, partially offset by Credit Karma revenue decline of 5%."
What was Gap Inc.'s revenue in Q3?,"According to the transcript, Gap Inc. reported third quarter net sales of $3.8 billion, down 7% versus last year, with comparable sales down 2%. Adjusted gross margin expanded 260 basis points and adjusted operating margin was 6.8%."
